Dimension,Spin_Configuration,Spin_Parameter_a,EFT_Coupling_Lambda,Mass_M,Weyl_Boost_Weight_2,KY_Residual_Norm,Love_Number_k2,RG_Scale_r,Model_Variant
8,Generic-Multi-Spin,1.1762904732415442,0.072360784518722451,1,0.15089121806418096,0.14188850048250359,0.39168153252468679,11.385528036300093,rigidification_benchmark
6,Generic-Multi-Spin,0.3333596844191235,0.16522344973466452,1,0.012469777937704983,0.010208913475530669,0.033280289012776451,9.5240092713385813,rigidification_benchmark
6,Cohomogeneity-1_Equal-Spin,0.58476384631181688,0.11294404016955756,1,5.6660410854987421e-09,4.4682773306740084e-09,0.010652461989753087,11.888591394573449,rigidification_benchmark
5,Single-Spin,0.86666605220188475,0.24507812212567126,1,0.0307423063706855,0.029241934000237165,0.082970796613538011,9.4516844754107296,rigidification_benchmark
6,Single-Spin,0.9824224345104583,0.091374555790833201,1,0.071665612696769687,0.05795993332107064,0.20785730459997584,10.173302313592284,rigidification_benchmark
7,Generic-Multi-Spin,0.51294596519752678,0.2961646450006552,1,0.057872956495579296,0.038853076583928933,0.15785614179393756,12.063762326352299,rigidification_benchmark
6,Single-Spin,0.074041206415337513,0.018931628098935824,1,5.7472810752475614e-05,3.8097134404720404e-05,0.00015654083197318982,8.7052761072292917,rigidification_benchmark
5,Single-Spin,1.4795588962186053,0.18913778494358621,1,0.16134014300492341,0.10734727431711248,0.42096429644619626,10.85784627078101,rigidification_benchmark
8,Cohomogeneity-1_Equal-Spin,1.3215009899814623,0.14905555867869408,1,1.3321344794768433e-08,7.5745837711054228e-09,0.0053040972547976125,12.31440575318411,rigidification_benchmark
9,Generic-Multi-Spin,0.10355827324946225,0.24193446238091867,1,0.0037255727142401314,0.0030397028957693077,0.009869802855032285,11.695221780985595,rigidification_benchmark
7,Single-Spin,0.43660235446893797,0.040934211235182365,1,0.0086485914448355527,0.0071825888569379843,0.024451114756578365,11.517486426606775,rigidification_benchmark
6,Single-Spin,1.0935622633845516,0.17305706147848537,1,0.13040419302489856,0.10875408793894097,0.35558803244147913,8.9729126312769942,rigidification_benchmark
9,Generic-Multi-Spin,0.83725912894666377,0.018120221784698781,1,0.014632099222083321,0.010984184302436388,0.039264446799973284,10.703786349575967,rigidification_benchmark
8,Cohomogeneity-1_Equal-Spin,0.74270302613581252,0.2228990792817101,1,2.7289910551430452e-08,1.8013755414734184e-08,0.021470695560874872,11.583161569572985,rigidification_benchmark
5,Generic-Multi-Spin,0.22215834802684098,0.096870978856001988,1,9.4116383843733618e-05,7.2544852344427285e-05,0.00024083619763528259,9.1857691137120128,rigidification_benchmark
7,Cohomogeneity-1_Equal-Spin,1.252709896212062,0.26709337418693491,1,3.7742566649609959e-08,2.4007970978561506e-08,0.032013840111798808,12.57725615343079,rigidification_benchmark
6,Single-Spin,1.2676894452941025,0.10705168889016566,1,0.12165254411507302,0.10600121877423802,0.31845750748155299,8.8815525447018437,rigidification_benchmark
7,Generic-Multi-Spin,0.23720727501901892,0.27434419191071763,1,0.015696846946809347,0.01351298877670905,0.044040099880012611,11.605568838864565,rigidification_benchmark
5,Single-Spin,0.6757458328734739,0.0076467049091020608,1,0.00059832534778095164,0.00049705565781312682,0.0016229939912716538,9.6568815279752016,rigidification_benchmark
7,Single-Spin,0.77018678265822116,0.21535502556448244,1,0.10075915654272111,0.088636487312842113,0.27854163290761597,12.106290917936713,rigidification_benchmark
8,Single-Spin,1.0734559013142297,0.050529021485138687,1,0.073440499444525548,0.070345612957281242,0.20715314440645619,12.718720676284283,rigidification_benchmark
7,Single-Spin,0.41642661448847879,0.18089385051181076,1,0.030399626714588776,0.022803058519418686,0.082618354123830437,10.390759887732566,rigidification_benchmark
6,Generic-Multi-Spin,0.16538865352351964,0.13916801311264002,1,0.0026214473454280324,0.0022695024182146314,0.0070569737469810623,10.66514759492129,rigidification_benchmark
9,Generic-Multi-Spin,1.3834465232816235,0.2338045088794837,1,0.49676439186283061,0.36905312912712918,1.3487018837418816,10.725078207161278,rigidification_benchmark
5,Generic-Multi-Spin,1.4124872651663498,0.030284030413511211,1,0.025392628779493689,0.020249604596156046,0.06678475838618228,9.2525505968369544,rigidification_benchmark
5,Single-Spin,0.0070832979168118917,0.19756072409979256,1,1.7884348682092465e-10,1.296019252892795e-10,5.0592302135052368e-10,11.634233767166734,rigidification_benchmark
6,Single-Spin,0.5279941769535178,0.079728989008148204,1,0.01731865101420503,0.011884057790461906,0.046194870365131785,9.177896895259618,rigidification_benchmark
7,Cohomogeneity-1_Equal-Spin,0.99740269882868604,0.28744897052835111,1,3.7282500979942492e-08,2.9253639567189708e-08,0.015688182568670193,11.284971492458135,rigidification_benchmark
5,Generic-Multi-Spin,0.9286108702658592,0.1237104711745903,1,0.020407846758178732,0.017975341194613029,0.055172024555672321,10.438334377016872,rigidification_benchmark
6,Generic-Multi-Spin,0.64659494182206134,0.25408696106608492,1,0.078478331290969275,0.061496571532516107,0.21296527895373085,9.1214567122980945,rigidification_benchmark
8,Generic-Multi-Spin,0.31318465967485126,0.061301117520244794,1,0.0072457225740823663,0.0063052074662971252,0.018557857567997545,12.384770266152918,rigidification_benchmark
7,Single-Spin,1.1561833959350354,0.15592180395281782,1,0.17564484607190842,0.15322831513048168,0.49306979838008641,10.7557856711559,rigidification_benchmark
6,Single-Spin,1.1381905581941885,0.11770207031805069,1,0.11198834292966538,0.097887485321047463,0.31067803477618339,9.4371573918499045,rigidification_benchmark
9,Generic-Multi-Spin,0.29364333279529869,0.24984094447163027,1,0.028287401971766372,0.021721268685718428,0.076844195356691819,11.953325425460935,rigidification_benchmark
6,Generic-Multi-Spin,0.61647098031993486,0.067602504031555738,1,0.015137248100489789,0.012294562275526272,0.039312377838073433,9.9891504950821393,rigidification_benchmark
5,Cohomogeneity-1_Equal-Spin,0.89703140591711739,0.16046080620204378,1,9.5572590796794421e-09,8.9384994737582782e-09,0.014704611988540218,11.320553705561906,rigidification_benchmark
9,Generic-Multi-Spin,1.0156372919885153,0.023694262690889652,1,0.037224107034762283,0.027948686967356612,0.096182000645591043,13.06727863540873,rigidification_benchmark
6,Cohomogeneity-1_Equal-Spin,0.54766281028657027,0.19389605649008604,1,1.495243205656073e-08,1.2485491801326596e-08,0.0168871552122048,10.045676849596202,rigidification_benchmark
7,Single-Spin,0.037357453430421649,0.086611742385541091,1,0.00013116242559871238,0.00011297849716465585,0.00035776460052852431,11.652861329354346,rigidification_benchmark
9,Generic-Multi-Spin,1.4442855973760904,0.291406623792829,1,0.80045219564329195,0.63275676583999407,2.120749074917716,10.183996363263578,rigidification_benchmark
9,Cohomogeneity-1_Equal-Spin,1.3796647077521236,0.045697641546491537,1,1.3083499346065331e-09,7.6532369175051146e-10,0.014997326248453789,11.608266245294363,rigidification_benchmark
6,Cohomogeneity-1_Equal-Spin,0.16019711585115365,0.17781569959232865,1,1.3199314450620187e-08,1.1118181748677633e-08,0.0080018675561318014,11.532099433988332,rigidification_benchmark
