artifact,path_or_label,sha2_256
aspredicted_pdf,docs/run-cards/p4/AsPredicted-307591.pdf,sha2-256:463b29fcff8d7c8099790325fa19d6bcf9ee29f64424c373a380566a6fe9011c
protocol_md,docs/papers/p4-token-share-mix/PROTOCOL-p4-token-share-mix.md,sha2-256:22c28f2bc632f132d9c95bbbcc9d1facbddf0b6b821445487e451c472ea58d4b
gate_bible_md,docs/papers/p4-token-share-mix/PROTOCOL-p4-GATES-EXHAUSTIVE.md,sha2-256:b389b70e0b8e3af869e8dea314b1c7c6b91df313e49d1bf11d9d07961b4a5a42
addendum_md,docs/papers/p4-token-share-mix/P4-PREFILING-ADDENDUM-DRAFT.md,sha2-256:f056a6f75c73a4d8dc3401ba8d7219d406aa7e498e5b0799d3d0373f9f74c216
nanochat_pin,vendor/nanochat @ 92d63d4,sha2-256:92d63d4e8bb4df75c3b71618f31ddde2378b2bcd
tokenizer_pkl,carry-forward P3 tokenizer.pkl,sha2-256:04436b854e0841025a3dd2b46baaeeea07a7ccc252e9f99a19171306f00bc5a8
token_bytes_pt,carry-forward P3 token_bytes.pt,sha2-256:a5dbc1c88f6292696108263072d77115718cc2d8357f7ad4859adfa517cc2132
evaluate_bpb_py,scripts/p4/evaluate_bpb.py,sha2-256:9afebdb405aaac0bb4287051d9b6f5d16f56d6dd9269a1e6c2c5df29becbced1
tl_train_jsonl,frozen P1.1 train,sha2-256:2b0474c5700dc1eba14def572aa23cc227e4c59c10c2de3ce6b7bda75d137687
tl_val_jsonl,frozen P1.1 val,sha2-256:4d51644b84d05050bfc8c515079e60f6e437082b6cce2122e9ed00e7b1db2b1c
tl_test_jsonl,frozen P1.1 test hash only; text not in box,sha2-256:3bd193458f4c494d84dae345548c0c01cb6cd7275e98d6ed39a41d517a093baf
en_train_jsonl,frozen WT103-raw train,sha2-256:09ae691caebb33a4bb81db4e570f630cac9ede11cb4116b2e08a3dbe08ef775a
en_val_jsonl,frozen WT103-raw val,sha2-256:874dec29844b3d46fc39e5479ee2dc4b3ba37309d9baf3bba4b5654697f3ae3b
en_test_jsonl,WT103-raw test hash only; text not in box,sha2-256:2bccabc020cbb8d09273cccdc42ed926957b83824ca767c96fb588041b8d434e
mix_manifest,manifests/p4/p4_mix_manifest.json,sha2-256:f203c615266bc8c33c358c1de397715791cae33536a9743c8a6bf8cd543cb107
c0_ckpt,p4-c0-tl-d20 / I d20,sha2-256:34e069646be4158979809c023691188439047d6cbee08a141db432c78bcf02e2
c1_ckpt,p4-c1-tl-d20,sha2-256:87b9f55146de72dd6ae53598b9aea8d99079ff0f9492b7f9ea4fdce550664c55
c2_ckpt,p4-c2-en-d20,sha2-256:0787aed0f13a0ab3ec144baf6802b144a18412780a2d00a64ca7adcb67a4a375
c3_ckpt,p4-c3-mix-d20,sha2-256:eef9a4e11c4840ac036d42c3bf4d87a2139ea1fa5809e1c756df2770fe0609f3
validation_seal,released/p4-validation-seal.json,sha2-256:5c7287752ba1abb39245acab43b9917ea9e089c0309959ec24990015e1ad580f
paper_pdf,docs/papers/p4-token-share-mix/paper_outputs/paper.pdf,sha2-256:d0bf73d30bd43b3984441f3d567ce49c886194376575148354494b7f7892da71
